name,area,salary,corp_name,description,job_restrict,welfare
Business Development 渠道经理,上海-浦东新区,1-1.5万/月,"NEULION GROUP, LLC","
外资（欧美）  |  50-150人  |  金融/投资/证券,房地产","2年经验,大专,招1人,03-02发布",
海外市场销售,上海-闵行区,10-15万/年,上海申沃客车有限公司,"
合资  |  500-1000人  |  汽车及零配件,机械/设备/重工","2年经验,本科,招1人,03-02发布","五险一金,补充医疗保险,定期体检,销售考核奖励,年终奖金,绩效奖金,专业培训,出国机会"
销售助理兼前台周末双休,上海-静安区,6-8千/月,克拉玛依昱盛商务服务有限公司,"
创业公司  |  50-150人  |  金融/投资/证券,互联网/电子商务","无工作经验,招2人,03-02发布","做五休二,周末双休,带薪年假,五险一金,绩效奖金,全勤奖,节日福利,专业培训"
区块链工程师,上海-浦东新区,1.5-2.5万/月,上海汇乾企业管理有限公司,"
民营公司  |  50-150人  |  金融/投资/证券,计算机软件","2年经验,本科,招2人,03-02发布","五险一金,年终奖金"
平面设计师,上海,0.8-1.2万/月,上海迈科金属资源有限公司,"
民营公司  |  150-500人  |  贸易/进出口","5-7年经验,本科,招1人,03-02发布",
客服专员转互联网实习     朝九晚六+ 双休,上海,3-4.5千/月,卓研云软件科技（上海）,"
上市公司  |  10000人以上  |  计算机软件,互联网/电子商务","无工作经验,大专,招6人,03-02发布","做五休二,弹性工作,周末双休,五险一金,绩效奖金,全勤奖,节日福利,专业培训,加班补贴"
教务（南方校区）,上海-闵行区,4.5-6千/月,上海宝山区唯中文化专修学院,"
民营公司  |  150-500人  |  教育/培训/院校","无工作经验,招若干人,03-02发布",
市场经理/主管,上海-静安区,1.5-3万/月,上海大象医疗健康科技有限公司,"
民营公司  |  150-500人  |  互联网/电子商务,医疗/护理/卫生","3-4年经验,本科,招2人,03-02发布","五险一金,员工旅游,交通补贴,绩效奖金,专业培训"
美术指导（地产）(职位编号：003),上海-徐汇区,1-1.8万/月,上海晶霖文化传播有限公司,"
民营公司  |  少于50人  |  广告,房地产","无工作经验,招3人,03-02发布",
市场助理,上海,4-6千/月,无锡联云世纪科技股份有限公司上海分公司,"
上市公司  |  150-500人  |  计算机服务(系统、数据服务、维修),计算机软件","无工作经验,本科,招1人,03-02发布",
生产焊接员,上海-浦东新区,4.5-6千/月,昆易电子科技（上海）有限公司,"
合资  |  50-150人  |  电子技术/半导体/集成电路,汽车及零配件","无工作经验,招2人,03-02发布","做五休二,周末双休,带薪年假,五险一金,节日福利,专业培训,定期体检,员工旅游"
铣工/车工/线切割/钣金工/氩弧焊/焊工,上海-松江区,6-8千/月,上海千实精密机电科技有限公司,"
合资  |  50-150人  |  机械/设备/重工,仪器仪表/工业自动化","3-4年经验,招8人,03-02发布","五险一金,包吃,包住宿,绩效奖金,全勤奖,节日福利,专业培训,高温补贴,加班补贴"
实习生行政助理,上海-闵行区,3-4.5千/月,上海闪闪互联网金融信息服务有限公司,"
民营公司  |  50-150人  |  互联网/电子商务,金融/投资/证券","无工作经验,招1人,03-02发布",包吃
客户经理,上海-青浦区,1-1.5万/月,上海青蝉空间装饰设计工程有限公司,"
民营公司  |  50-150人  |  建筑/建材/工程","无工作经验,招若干人,03-02发布","五险一金,餐饮补贴,专业培训,带薪年假,通讯补贴"
安装工普工有C1驾照(职位编号：999),上海-松江区,4.5-6千/月,百充（上海）智能科技有限公司,"
民营公司  |  少于50人  |  新能源","1年经验,招1人,03-02发布","弹性工作,包住宿,带薪年假,做六休一,年假10-20天"
销售代表,上海-奉贤区,3-4.5千/月,罗奥易成（上海）门业有限公司,"
民营公司  |  50-150人  |  建筑/建材/工程,家居/室内设计/装潢","1年经验,大专,招5人,03-02发布","交通补贴,五险一金,弹性工作,通讯补贴,包吃,有提成"
行政前台,上海,3.5-6千/月,上海市数字证书认证中心有限公司,"
国企  |  50-150人  |  互联网/电子商务","2年经验,大专,招1人,03-02发布","带薪年假,绩效奖金,节日福利,交通补贴,五险一金,餐饮补贴"
销售总监,上海-徐汇区,,绿地科技有限公司,"
国企  |  少于50人  |  房地产","8-9年经验,本科,招1人,03-02发布",
会计,上海,5-8千/月,上海卓制商务咨询有限公司,"
合资  |  50-150人  |  专业服务(咨询、人力资源、财会)","无工作经验,大专,招若干人,03-02发布","五险一金,补充医疗保险,员工旅游,交通补贴,专业培训,出国机会,绩效奖金,年终奖金"
人事招聘专员,上海-虹口区,6-8千/月,上海滋己信息科技有限公司,"
民营公司  |  50-150人  |  计算机软件,计算机服务(系统、数据服务、维修)","3-4年经验,大专,招若干人,03-02发布","五险一金,员工旅游,年终奖金,出国机会,定期体检"
报告编辑文员(职位编号：GSZP007),上海-闵行区,2-3千/月,上海量远检测技术有限公司,"
民营公司  |  少于50人  |  检测，认证,环保","无工作经验,中专,招6人,03-02发布","周末双休,弹性工作,带薪年假,五险一金,包住宿,绩效奖金,专业培训"
软件服务工程师（应届生）,上海-徐汇区,3-5千/月,奔达医药科技（上海）有限公司,"
民营公司  |  少于50人  |  计算机软件,医疗设备/器械","无工作经验,大专,招1人,03-02发布","五险一金,年终奖金,交通补贴"
销售经理,上海-青浦区,0.5-1.5万/月,上海三渠智能科技有限公司,"
合资  |  50-150人  |  机械/设备/重工,仪器仪表/工业自动化","3-4年经验,大专,招1人,03-02发布","做五休二,周末双休,五险一金"
店铺店长,上海-宝山区,6-8千/月,上海府禄文化传播有限公司,"
民营公司  |  少于50人  |  教育/培训/院校","3-4年经验,大专,招1人,03-02发布",
企业注册业务咨询师/双休（浦东）,上海,0.8-1.2万/月,上海智硕投资管理有限公司,"
民营公司  |  50-150人  |  会计/审计,专业服务(咨询、人力资源、财会)","无工作经验,大专,招2人,03-02发布","交通补贴,通讯补贴,专业培训,出国机会,绩效奖金,年终奖金,做五休二"
产品专员,上海,0.8-1万/月,上海玖悦数码科技有限公司,"
民营公司  |  少于50人  |  互联网/电子商务,计算机软件","无工作经验,招2人,03-02发布",
陈列培训高级主管,上海-徐汇区,1-1.6万/月,百丽集团体育事业总部,"
外资（非欧美）  |  500-1000人  |  批发/零售,服装/纺织/皮革","3-4年经验,大专,招1人,03-02发布","做五休二,周末双休,交通补贴,弹性工作,带薪年假,五险一金,专业培训,节日福利"
软件销售经理,上海,6-8千/月,上海知普信息科技有限公司,"
合资  |  50-150人  |  计算机软件,计算机服务(系统、数据服务、维修)","2年经验,大专,招4人,03-02发布","五险一金,餐饮补贴,交通补贴,员工旅游,年终奖金,弹性工作,通讯补贴,专业培训,绩效奖金"
临床主管/经理,上海-浦东新区,1-1.5万/月,上海沃比医疗科技有限公司,"
合资  |  少于50人  |  医疗设备/器械","5-7年经验,本科,招1人,03-02发布",
急聘货运海员普工、跟单员、集装箱焊工,上海,1-1.5万/月,顺祥航运有限公司,"
合资  |  150-500人  |  交通/运输/物流,贸易/进出口","无工作经验,招18人,03-02发布","五险一金,餐饮补贴,年终奖金,绩效奖金,定期体检,带薪年假,包吃,包三餐,包住宿,全勤奖"
急聘包住京东运营,上海-松江区,0.8-1.2万/月,上海艾牧未贸易有限公司,"
民营公司  |  50-150人  |  互联网/电子商务","1年经验,中专,招3人,03-02发布","五险一金,包住宿,绩效奖金,专业培训,节日福利,带薪年假,餐饮补贴"
视频编导,上海-闵行区,0.8-1万/月,上海嗨课堂,"
民营公司  |  150-500人  |  教育/培训/院校,互联网/电子商务","无工作经验,大专,招2人,03-02发布","五险一金,绩效奖金,年终奖金,定期体检,节日福利,员工旅游,专业培训,生日礼金"
C++C#系统集成开发工程师,上海-静安区,0.8-1万/月,龙的股份,"
合资  |  150-500人  |  互联网/电子商务,影视/媒体/艺术/文化传播","2年经验,招若干人,03-02发布","五险一金,员工旅游,年终奖金"
开发助理,上海-闵行区,4.5-6千/月,宁波酷乐潮玩文化创意有限公司,"
合资  |  150-500人  |  家具/家电/玩具/礼品","无工作经验,招2人,03-02发布","周末双休,带薪年假,五险一金,绩效奖金,节日福利,高温补贴"
CAD绘图员,上海-浦东新区,4.5-6千/月,上海视觉航标机电有限公司,"
民营公司  |  少于50人  |  批发/零售","3-4年经验,大专,招若干人,03-02发布",
医学专员（包吃住）,上海-松江区,0.8-1万/月,上海同联制药有限公司,"
民营公司  |  50-150人  |  制药/生物工程","2年经验,硕士,招5人,03-02发布","五险一金,免费班车,餐饮补贴,通讯补贴,专业培训"
文员,上海-宝山区,3-4.5千/月,上海东丞信息科技有限公司,"
合资  |  少于50人  |  计算机软件","无工作经验,招1人,03-02发布","五险一金,员工旅游,做五休二,节日福利"
销售易项目经理,上海,0.8-1万/月,上海致拓软件有限公司,"
民营公司  |  50-150人  |  计算机软件,计算机服务(系统、数据服务、维修)","无工作经验,招2人,03-02发布","五险一金,员工旅游,绩效奖金"
人事行政经理,上海-徐汇区,1-1.5万/月,氪空间（北京）信息技术有限公司,"
民营公司  |  150-500人  |  互联网/电子商务,物业管理/商业中心","5-7年经验,本科,招1人,03-02发布",
珠宝销售顾问（轻奢行业）,上海-长宁区,4-7千/月,CIRCLE 珠宝,"
民营公司  |  50-150人  |  奢侈品/收藏品/工艺品/珠宝,批发/零售","1年经验,高中,招4人,03-02发布","绩效奖金,节日福利,专业培训,补贴,团队旅游,做一休一,五险一金,弹性工作"
人事行政专员,上海-静安区,4.5-6千/月,上海米瑞可医疗美容门诊部有限公司,"
民营公司  |  150-500人  |  医疗/护理/卫生,美容/保健","无工作经验,招若干人,03-02发布","五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检"
园区运营主管,上海-虹口区,6-9千/月,上海虹口绿地商业管理有限公司,"
国企  |  少于50人  |  物业管理/商业中心,房地产","无工作经验,招1人,03-02发布","五险一金,餐饮补贴,年终奖金,定期体检"
Android客户端程序员,上海-浦东新区,0.7-2万/月,上海星梦岛网络科技有限公司,"
民营公司  |  50-150人  |  互联网/电子商务","无工作经验,招1人,03-02发布",
诚邀金融销售专员 包住+高薪,上海-松江区,0.6-1.2万/月,上海筏智投资管理有限公司,"
合资  |  150-500人  |  金融/投资/证券,专业服务(咨询、人力资源、财会)","无工作经验,中专,招3人,03-02发布","员工旅游,餐饮补贴,通讯补贴,专业培训,出国机会,绩效奖金,年终奖金,弹性工作,年终分红,家属津贴"
文员\内勤,上海-浦东新区,3-4.5千/月,上海大迈实业发展有限公司,"
民营公司  |  少于50人  |  贸易/进出口","2年经验,高中,招若干人,03-02发布",
复旦万科信息技术教师,上海-闵行区,0.8-1万/月,上海德英乐教育投资有限公司,"
民营公司  |  500-1000人  |  教育/培训/院校","无工作经验,本科,招1人,03-02发布","五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,出国机会,定期体检,企业年金,补充医疗保险,绩效奖金"
会计助理/财务助理,上海,4.5-6千/月,上海欣度财务咨询有限公司,"
民营公司  |  50-150人  |  专业服务(咨询、人力资源、财会),中介服务","1年经验,大专,招10人,03-02发布","包住宿,专业培训,节日福利,全勤奖,绩效奖金,交通补贴,餐饮补贴,通讯补贴,五险一金,带薪年假"
视频剪辑,上海-宝山区,6-8千/月,熊客文化传媒（上海）有限公司,"
民营公司  |  50-150人  |  影视/媒体/艺术/文化传播","无工作经验,招1人,03-02发布","五险一金,员工旅游,专业培训,年终奖金,定期体检"
销售代表（底薪5800+绩效奖金+提成+五险一金）,上海-浦东新区,1-1.5万/月,上海恒翼投资中心,"
民营公司  |  金融/投资/证券","无工作经验,大专,招20人,03-02发布","带薪年假,五险一金,绩效奖金,全勤奖,节日福利,专业培训,加班补贴,餐饮补贴,推荐住宿"
机械工程师,上海-松江区,5-7千/月,上海共得实业发展有限公司,"
民营公司  |  150-500人  |  汽车及零配件,机械/设备/重工","无工作经验,招2人,03-02发布",
高级客户主管,上海-徐汇区,0.7-1万/月,上海奥萌广告有限公司,"
民营公司  |  少于50人  |  广告","2年经验,本科,招若干人,03-02发布",
测试工程师,上海-浦东新区,0.6-1.4万/月,上海箩箕技术有限公司,"
民营公司  |  150-500人  |  电子技术/半导体/集成电路","无工作经验,招3人,03-02发布","五险一金,绩效奖金,补充医疗保险,通讯补贴,免费班车,员工旅游,定期体检,股票期权"
销售行政助理,上海-杨浦区,3-4.5千/月,上海雅黑文化传播有限公司,"
民营公司  |  少于50人  |  广告,互联网/电子商务","1年经验,大专,招1人,03-02发布",
电气技术方案工程师,上海-浦东新区,0.8-1.6万/月,中科新松有限公司（机器人）,"
上市公司  |  1000-5000人  |  仪器仪表/工业自动化","2年经验,本科,招1人,03-02发布","五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检"
一建港航建造师工程师,上海-浦东新区,5-6万/年,上海晋通疏浚工程有限公司,"
民营公司  |  50-150人  |  建筑/建材/工程,电气/电力/水利","5-7年经验,本科,招3人,03-02发布",
客服主管（非技术）,上海-青浦区,3-4.5千/月,上海高绮诗物流有限公司,"
民营公司  |  150-500人  |  交通/运输/物流","2年经验,中专,招3人,03-02发布",
前台兼出纳,上海,4.5-6千/月,上海欧逸市场营销顾问有限公司,"
民营公司  |  少于50人  |  专业服务(咨询、人力资源、财会)","无工作经验,招1人,03-02发布","五险一金,补充医疗保险,补充公积金,员工旅游,年终奖金,定期体检"
SEO实习生,上海-黄浦区,150元/天,上海财豆金融信息服务有限公司,"
民营公司  |  500-1000人  |  金融/投资/证券,多元化业务集团公司","无工作经验,本科,招1人,03-02发布",
销售经理,上海-徐汇区,1-1.5万/月,神州云盾信息安全有限公司,"
民营公司  |  50-150人  |  计算机服务(系统、数据服务、维修),计算机软件","3-4年经验,本科,招1人,03-02发布","交通补贴,餐饮补贴,五险一金,节日福利,补充医疗保险,通讯补贴,员工旅游,弹性工作"
中小学语文教师,上海-浦东新区,0.8-1万/月,上海浦东新区民办更新学校,"
民营公司  |  50-150人  |  教育/培训/院校","1年经验,本科,招8人,03-02发布","五险一金,免费班车,餐饮补贴,定期体检,专业培训"
中心校长/校区负责人,上海-浦东新区,1-1.5万/月,秦汉胡同国学书院,"
民营公司  |  500-1000人  |  教育/培训/院校","3-4年经验,大专,招1人,03-02发布","五险一金,弹性工作,绩效奖金"
Quality Engineer,上海,0.8-1万/月,宝马格（中国）工程机械有限公司,"
外资（欧美）  |  50-150人  |  机械/设备/重工","5-7年经验,本科,招1人,03-02发布",
女装设计师（电商自主品牌）,上海-虹口区,1-1.5万/月,上海艾禾服饰有限公司,"
民营公司  |  50-150人  |  互联网/电子商务,服装/纺织/皮革","3-4年经验,大专,招1人,03-02发布","餐饮补贴,年终奖金,五险一金,弹性工作"
期权销售（起薪5K，年薪百万）,上海-闵行区,80-100万/年,上海绩唯商务信息咨询有限公司,"
民营公司  |  150-500人  |  金融/投资/证券","无工作经验,大专,招5人,03-02发布",
物流专员,上海-浦东新区,4-6千/月,绚贸（上海）工业设备贸易有限公司,"
外资（非欧美）  |  50-150人  |  贸易/进出口,环保","1年经验,大专,招1人,03-02发布","做五休二,周末双休,带薪年假,五险一金,包住宿,全勤奖,高温补贴"
海运操作/订舱,上海-黄浦区,5-7.5千/月,德威国际货运代理（上海）有限公司,"
合资  |  500-1000人  |  交通/运输/物流","无工作经验,大专,招若干人,03-02发布","五险一金,补充医疗保险,员工旅游,餐饮补贴,绩效奖金,定期体检,年终奖金"
底薪4K起聘互联网销售 网络销售/周末双休,上海-徐汇区,0.8-1万/月,职得邦,"
合资  |  150-500人  |  互联网/电子商务,教育/培训/院校","无工作经验,招2人,03-02发布","五险一金,做五休二,绩效奖金,全勤奖,节日福利,专业培训,员工旅游,带薪年假,周末双休"
5000底薪招软件销售做五休二,上海-闵行区,1-1.5万/月,上海威纳商务信息咨询有限公司,"
民营公司  |  50-150人  |  互联网/电子商务,贸易/进出口","1年经验,大专,招20人,03-02发布","做五休二,周末双休,带薪年假,绩效奖金,全勤奖,节日福利,专业培训"
美导/培训师,上海-静安区,6-8千/月,上海崇雅商贸有限公司,"
民营公司  |  50-150人  |  快速消费品(食品、饮料、化妆品),贸易/进出口","1年经验,高中,招1人,03-02发布",
物流总监,上海-普陀区,1.5-2万/月,上海爱哆哆实业有限公司,"
民营公司  |  500-1000人  |  互联网/电子商务,快速消费品(食品、饮料、化妆品)","5-7年经验,大专,招1人,03-02发布","五险一金,通讯补贴,绩效奖金,年终奖金,专业培训,节日福利"
金融销售（月薪过万）,上海-浦东新区,0.6-3万/月,上海翼道商贸有限公司,"
民营公司  |  金融/投资/证券","无工作经验,大专,招5人,03-02发布","绩效奖金,全勤奖,带薪年假,节日福利,专业培训,五险一金,加班补贴"
CRM--Danskin品牌-02659,上海-黄浦区,7-9千/月,李宁（中国）体育用品有限公司,"
上市公司  |  5000-10000人  |  服装/纺织/皮革,娱乐/休闲/体育","无工作经验,大专,招1人,03-02发布","五险一金,补充医疗保险,补充公积金,餐饮补贴,通讯补贴,绩效奖金,年终奖金,定期体检,弹性工作"
销售经理,上海-宝山区,0.8-1.5万/月,SEAROAN 海朗,"
民营公司  |  少于50人  |  房地产,建筑/建材/工程","3-4年经验,大专,招2人,03-02发布","五险一金,餐饮补贴,通讯补贴,定期体检,专业培训,绩效奖金,年终奖金,交通补贴,弹性工作,员工旅游"
人事助理实习生,上海-长宁区,120元/天,北京猫眼文化传媒有限公司,"
民营公司  |  500-1000人  |  影视/媒体/艺术/文化传播,互联网/电子商务","无工作经验,本科,招1人,03-02发布","五险一金,补充医疗保险,绩效奖金,年终奖金,定期体检,弹性工作"
大客户总监,上海,1.5-2万/月,卓悦环保新材料（上海）有限公司,"
民营公司  |  150-500人  |  石油/化工/矿产/地质","5-7年经验,招若干人,03-02发布","五险一金,交通补贴,年终奖金,绩效奖金,专业培训,餐饮补贴,定期体检,弹性工作"
视觉系统/机器人销售工程师,上海-静安区,,上海倍加福工业自动化贸易有限公司,"
外资（欧美）  |  150-500人  |  仪器仪表/工业自动化","无工作经验,大专,招1人,03-02发布","五险一金,年终奖金,定期体检,弹性工作"
财务助理,上海-静安区,4-5千/月,上海涌申电子信息科技有限公司,"
民营公司  |  50-150人  |  家具/家电/玩具/礼品,批发/零售","1年经验,大专,招3人,03-02发布","五险一金,带薪年假,绩效奖金,全勤奖,节日福利,加班补贴,定期员工体检"
审计师,上海-浦东新区,1-1.5万/月,和灵投资管理（北京）有限公司,"
民营公司  |  少于50人  |  金融/投资/证券,专业服务(咨询、人力资源、财会)","3-4年经验,本科,招2人,03-02发布","五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金,定期体检"
电商销售运营主管,上海-徐汇区,5-8千/月,上海意泰珠宝有限公司,"
民营公司  |  少于50人  |  奢侈品/收藏品/工艺品/珠宝","3-4年经验,大专,招1人,03-02发布",
文案,上海-浦东新区,4.5-6千/月,上海爱立诚教育投资发展有限公司,"
民营公司  |  150-500人  |  教育/培训/院校,多元化业务集团公司","无工作经验,招若干人,03-02发布","五险一金,餐饮补贴,通讯补贴,绩效奖金,年终奖金,创业团队"
罐箱部销售,上海-虹口区,15-20万/年,上海运泽化工物流发展有限公司,"
民营公司  |  50-150人  |  交通/运输/物流,贸易/进出口","无工作经验,招2人,03-02发布","五险一金,员工旅游,专业培训,绩效奖金,年终奖金,定期体检"
物流专员/物流操作/进出口客服,上海-浦东新区,3-4.5千/月,上海近藤国际物流服务有限公司,"
民营公司  |  50-150人  |  交通/运输/物流","1年经验,大专,招2人,03-02发布","做五休二,带薪年假,五险一金,绩效奖金,全勤奖,节日福利,交通补贴,餐饮补贴,通讯补贴,年终奖金"
施工员/装修施工/施工装饰,上海-闵行区,6-8千/月,上海恒图建筑装饰工程有限公司,"
民营公司  |  50-150人  |  家居/室内设计/装潢,建筑/建材/工程","无工作经验,招若干人,03-02发布","五险一金,专业培训,通讯补贴,餐饮补贴,交通补贴,绩效奖金,年终奖金,弹性工作"
销售助理,上海-嘉定区,3.5-4.5千/月,上海固强电器成套有限公司,"
民营公司  |  150-500人  |  建筑/建材/工程,生活服务","3-4年经验,招3人,03-02发布","五险一金,员工旅游,专业培训,绩效奖金,年终奖金"
店长,上海-静安区,0.6-1万/月,上海联亚商业有限公司,"
外资（非欧美）  |  500-1000人  |  服装/纺织/皮革,批发/零售","3-4年经验,招1人,03-02发布","五险一金,补充医疗保险,绩效奖金,年底双薪"
律师助理,上海-浦东新区,0.8-1万/月,浙江阳光时代律师事务所,"
民营公司  |  50-150人  |  法律","1年经验,硕士,招1人,03-02发布","五险一金,补充医疗保险,员工旅游,餐饮补贴,出国机会,年终奖金"
市场BD主管,上海-浦东新区,1-1.5万/月,广州智造家网络科技有限公司,"
民营公司  |  50-150人  |  互联网/电子商务,计算机软件","无工作经验,招1人,03-02发布","五险一金,年终奖金,股票期权,通讯补贴,餐饮补贴,弹性工作,定期体检"
日语专员,上海,4.5-8千/月,三菱电机自动化（中国）有限公司,"
外资（非欧美）  |  150-500人  |  仪器仪表/工业自动化,机械/设备/重工","无工作经验,本科,招1人,03-02发布",
教育咨询顾问,上海-杨浦区,0.5-1万/月,艾涂图国际儿童艺术空间,"
合资  |  少于50人  |  教育/培训/院校","无工作经验,大专,招5人,03-02发布","五险一金,员工旅游,交通补贴,通讯补贴,专业培训,绩效奖金,定期体检,做五休二"
大客户销售/大客户经理,上海-静安区,1-1.5万/月,上海优训商务咨询有限公司,"
合资  |  少于50人  |  教育/培训/院校,专业服务(咨询、人力资源、财会)","3-4年经验,本科,招1人,03-02发布","五险一金,绩效奖金,专业培训,补充医疗保险,定期体检,员工旅游,餐饮补贴,通讯补贴,年终奖金"
咨询项目经理,上海,1-1.5万/月,深圳市迪博企业风险管理技术有限公司,"
民营公司  |  150-500人  |  专业服务(咨询、人力资源、财会),计算机软件","3-4年经验,本科,招1人,03-02发布","五险一金,员工旅游,专业培训,绩效奖金,弹性工作,定期体检,年终奖金"
早教行政客服文员（七宝）,上海-闵行区,4.5-6千/月,赢在起点早教.少儿教育,"
民营公司  |  500-1000人  |  教育/培训/院校","无工作经验,招1人,03-02发布","做五休二,周末双休,五险一金,专业培训,节日福利,绩效奖金"
高薪诚聘资深导购,上海,1-1.5万/月,北京东方典藏国际收藏品有限公司,"
民营公司  |  150-500人  |  奢侈品/收藏品/工艺品/珠宝,家具/家电/玩具/礼品","1年经验,大专,招5人,03-02发布","绩效奖金,专业培训,员工旅游,年终奖金,出国机会"
