name,area,salary,corp_name,description,job_restrict,welfare
项目助理,上海-长宁区,4-6千/月,汇思软件（上海）有限公司,"
外资（非欧美）  |  150-500人  |  计算机软件,互联网/电子商务","无工作经验,大专,招1人,03-02发布","五险一金,绩效奖金,弹性工作,带薪年假,员工旅游,定期体检,专业培训,朝九晚六,周末双休"
客户家里,上海-浦东新区,1-1.5万/月,上海万户信息技术有限公司,"
民营公司  |  500-1000人  |  互联网/电子商务,计算机软件","1年经验,招5人,03-02发布","五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金"
金属热喷涂销售工程师,上海-青浦区,0.5-1.5万/月,赫格纳斯（中国）有限公司,"
外资（欧美）  |  50-150人  |  原材料和加工,汽车及零配件","5-7年经验,本科,招1人,03-02发布","五险一金,补充医疗保险,专业培训,年终奖金"
羽绒服设计师,上海-静安区,6-8千/月,上海羽皇服饰有限公司,"
民营公司  |  少于50人  |  服装/纺织/皮革","3-4年经验,本科,招1人,03-02发布",绩效奖金
货品经理,上海-普陀区,0.8-1万/月,浙江敦奴联合实业股份有限公司,"
民营公司  |  500-1000人  |  服装/纺织/皮革","2年经验,大专,招1人,03-02发布","交通补贴,餐饮补贴,加班补贴,节日福利,五险一金,带薪年假"
软件开发项目主管,上海,1.2-1.5万/月,上海万趣实业发展有限公司,"
民营公司  |  500-1000人  |  贸易/进出口,服装/纺织/皮革","5-7年经验,本科,招1人,03-02发布",
电话销售,上海-浦东新区,5-8千/月,明动企业管理（上海）有限公司,"
民营公司  |  50-150人  |  金融/投资/证券","无工作经验,高中,招10人,03-02发布","五险一金,专业培训,餐饮补贴,绩效奖金,周末双休,通讯补贴"
无责底薪5k+住宿 销售代表//储备干部 /应届生,上海-宝山区,0.8-1.2万/月,上海宬逸企业管理咨询有限公司,"
合资  |  150-500人  |  互联网/电子商务,医疗设备/器械","无工作经验,大专,招20人,03-02发布","五险一金,包住宿,带薪年假,专业培训,节日福利,全勤奖,绩效奖金,员工旅游"
费用会计,上海-黄浦区,6-8千/月,上海兆妩品牌管理有限公司,"
民营公司  |  500-1000人  |  奢侈品/收藏品/工艺品/珠宝,服装/纺织/皮革","3-4年经验,大专,招1人,03-02发布",
法务部实习生,上海-长宁区,100元/天,上海智富企业发展（集团）有限公司,"
民营公司  |  1000-5000人  |  房地产,建筑/建材/工程","无工作经验,本科,招1人,03-02发布","五险一金,通讯补贴,餐饮补贴,绩效奖金,定期体检"
高级财务主管,上海-普陀区,0.8-1万/月,广州市纳塔力健康管理咨询有限公司,"
合资  |  1000-5000人  |  互联网/电子商务,医疗/护理/卫生","无工作经验,招若干人,03-02发布","五险一金,员工旅游,交通补贴,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检,生日福利"
新媒体运营专员,上海-闵行区,6-8千/月,上海太微文化传播有限公司,"
民营公司  |  少于50人  |  影视/媒体/艺术/文化传播","无工作经验,招1人,03-02发布",
高级WEB前端架构工程师,上海-浦东新区,1.5-2万/月,上海美特斯邦威服饰股份有限公司,"
民营公司  |  10000人以上  |  服装/纺织/皮革,批发/零售","无工作经验,招1人,03-02发布",
门店店长,上海-静安区,5.5-7千/月,上海乐慈养老服务有限公司,"
民营公司  |  50-150人  |  生活服务,医疗/护理/卫生","8-9年经验,大专,招若干人,03-02发布","做五休二,周末双休,带薪年假"
Project Assistant 店铺装修和道具制作项目助理,上海-闵行区,5-8千/月,上海示图装饰工程有限公司,"
民营公司  |  50-150人  |  建筑/建材/工程,家居/室内设计/装潢","1年经验,大专,招若干人,03-02发布","做五休二,带薪年假,五险一金,绩效奖金,交通补贴,通讯补贴,弹性工作"
产品专员,上海-松江区,5-8千/月,上海创蓝文化传播有限公司,"
民营公司  |  500-1000人  |  互联网/电子商务,广告","1年经验,大专,招若干人,03-02发布","五险一金,免费班车,员工旅游,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检,免费甜点,提供住宿"
招聘主管/工程师（工作地点：盐城东台）,盐城,0.8-1.1万/月,科森科技东台有限公司,"
民营公司  |  500-1000人  |  机械/设备/重工","5-7年经验,招2人,03-02发布","五险一金,员工旅游,年终奖金,绩效奖金,带薪年假"
销售助理/金融实习生+无责底薪5k+专业培训+旅游,上海-松江区,0.5-2.5万/月,上海真承金融信息服务有限公司,"
民营公司  |  500-1000人  |  金融/投资/证券","无工作经验,招若干人,03-02发布","包住宿,绩效奖金,专业培训,节日福利,弹性工作,领导nice,晋升空间大,父母上海游,包两餐,带薪年假"
培训顾问,上海-浦东新区,0.8-1万/月,北京中人网信息咨询股份有限公司上海分公司,"
上市公司  |  少于50人  |  专业服务(咨询、人力资源、财会)","无工作经验,招1人,03-02发布",
青浦区高薪聘请一手房销售,上海-青浦区,3-4.5千/月,上海同策房产咨询股份有限公司,"
民营公司  |  5000-10000人  |  房地产,专业服务(咨询、人力资源、财会)","无工作经验,招若干人,03-02发布",
底薪5300 年薪20万 办公楼销售,上海-普陀区,1-1.5万/月,上海从嘉房地产经纪有限公司,"
民营公司  |  50-150人  |  房地产","2年经验,大专,招8人,03-02发布","你就是老板,员工旅游,绩效奖金,专业培训,弹性工作,年终奖金"
软件工程师,上海-浦东新区,1.5-3万/月,西部证券股份有限公司,"
上市公司  |  1000-5000人  |  金融/投资/证券","无工作经验,本科,招若干人,03-02发布","五险一金,绩效奖金,年终奖金,定期体检"
新媒体运营专员（餐饮加盟连锁/闵行虹桥）,上海-闵行区,0.6-1万/月,鼎香帅（上海）餐饮企业管理有限公司,"
外资（非欧美）  |  500-1000人  |  快速消费品(食品、饮料、化妆品)","2年经验,大专,招2人,03-02发布","带薪年假,五险一金,全勤奖,节日福利,绩效奖金,免费班车"
电气工程师,上海-浦东新区,1-1.5万/月,上海耀皮康桥汽车玻璃有限公司,"
合资  |  500-1000人  |  汽车及零配件","3-4年经验,大专,招3人,03-02发布","带薪年假,五险一金,节日福利,做五休二,高温补贴"
WPF开发工程师,上海-闵行区,0.6-1.2万/月,上海锐驰创通电子科技有限公司,"
民营公司  |  少于50人  |  电子技术/半导体/集成电路,仪器仪表/工业自动化","1年经验,大专,招1人,03-02发布","做五休二,周末双休,带薪年假,五险一金,节日福利,通讯补贴"
商业数据分析,上海,6-8千/月,上海济荷信息科技有限公司,"
民营公司  |  150-500人  |  计算机服务(系统、数据服务、维修),互联网/电子商务","无工作经验,招5人,03-02发布",
销售代表/客户代表5K+宿舍+高提成（月均9600）,上海-浦东新区,0.8-1万/月,上海世基投资顾问有限公司-华侨城总部,"
民营公司  |  1000-5000人  |  金融/投资/证券","无工作经验,大专,招10人,03-02发布","弹性工作,专业培训,绩效奖金,年终奖金,股票期权,员工旅游,餐饮补贴,全勤奖,带薪年假,节日福利"
销售/照明销售代表,上海-闵行区,5-8千/月,上海百灿实业有限公司,"
民营公司  |  少于50人  |  贸易/进出口,家居/室内设计/装潢","1年经验,中专,招3人,03-02发布","免费班车,五险一金,绩效奖金,周末双休,节日福利"
